Median length	971.0
Size range:  959 to 972
Accession ID, Species, Sequence name          Length  Difference from median length  Percent of median length    Groups  Fragment of
LT599487.1, Centrochelys sulcata, ND1            959                            -12                     98.76    set: 1  
MT017690.1, Chelonoidis abingdonii, ND1          971                              0                    100.00    set: 2  
NC_051472.1, Chelonoidis abingdonii, ND1         971                              0                    100.00    set: 2  
OM719673.1, Chelonoidis abingdonii, ND1          971                              0                    100.00    set: 2  
OM719698.1, Chelonoidis abingdonii, ND1          971                              0                    100.00    set: 2  
LT599482.1, Chelonoidis alburyorum, ND1          959                            -12                     98.76    set: 3  
MT017693.1, Chelonoidis becki, ND1               971                              0                    100.00    set: 4  
NC_051473.1, Chelonoidis becki, ND1              971                              0                    100.00    set: 4  
OM719692.1, Chelonoidis becki, ND1               971                              0                    100.00    set: 4  
OM719693.1, Chelonoidis becki, ND1               971                              0                    100.00    set: 4  
LT599483.1, Chelonoidis carbonarius, ND1         971                              0                    100.00    set: 5  
MT017704.1, Chelonoidis carbonarius, ND1         971                              0                    100.00    set: 6  
OQ789392.1, Chelonoidis carbonarius, ND1         971                              0                    100.00    set: 7  
NC_080265.1, Chelonoidis carbonarius, ND1        971                              0                    100.00    set: 7  
MT017692.1, Chelonoidis chathamensis, ND1        971                              0                    100.00    set: 8  
OM719702.1, Chelonoidis chathamensis, ND1        971                              0                    100.00    set: 8  
OM719703.1, Chelonoidis chathamensis, ND1        971                              0                    100.00    set: 8  
OM719704.1, Chelonoidis chathamensis, ND1        971                              0                    100.00    set: 8  
LT599484.1, Chelonoidis chilensis, ND1           971                              0                    100.00    set: 9  
MT017694.1, Chelonoidis darwini, ND1             971                              0                    100.00   set: 10  
NC_051474.1, Chelonoidis darwini, ND1            971                              0                    100.00   set: 10  
OM719670.1, Chelonoidis darwini, ND1             971                              0                    100.00    set: 4  
OM719671.1, Chelonoidis darwini, ND1             971                              0                    100.00    set: 4  
OM719672.1, Chelonoidis darwini, ND1             971                              0                    100.00   set: 10  
LT599485.1, Chelonoidis denticulatus, ND1        971                              0                    100.00   set: 11  
MT017703.1, Chelonoidis denticulatus, ND1        971                              0                    100.00   set: 12  
MT017695.1, Chelonoidis donfaustoi, ND1          971                              0                    100.00   set: 13  
NC_051475.1, Chelonoidis donfaustoi, ND1         971                              0                    100.00   set: 13  
MG912791.1, Chelonoidis duncanensis, ND1         971                              0                    100.00   set: 14  
MG912792.1, Chelonoidis duncanensis, ND1         971                              0                    100.00   set: 14  
MG912820.1, Chelonoidis duncanensis, ND1         971                              0                    100.00   set: 14  
